key	index	subculture	category	name_group	skin	ui_skin	is_rebel	flags_path	military_group	movie_death_event	unit_regiment_name_group	ship_name_group	pre_battle_speech_parameter	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	feature_forest	default_audio_actor_vo_group	text_replacement_key	neutral_reinforcement_factions	can_accept_gifts_when_dead	uniform_colour_primary	uniform_colour_secondary	uniform_colour_tertiary	banner_colour_primary	banner_colour_secondary	banner_colour_tertiary	primary_colour	override_target_unit_vo_culture	music_feedback_group	ui_main_theme_skin	primary_colour_hex	alt_primary_colour_hex	secondary_colour_hex	alt_secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	alt_uniform_colour_hex	card_colour_hex
cr_ogr_deathtoll	1373636580	wh3_main_sc_ogr_ogre_kingdoms		names_ogr_ogre_kingdom	wh3_main_ogr_ogre_kingdoms	wh3_main_ogr_ogre_kingdoms	false	ui/flags/rhox_cc_ogr_deathtoll	wh3_main_ogr	0	names_ogr_ogre_kingdom	names_ogr_ogre_kingdom	FACTION_ODA	wh3_main_vo_culture_Ogres	wh_mp_force_gen_ogre_kingdoms	ogr				false	WH_Ogre_Kingdoms	LOCKED_STANDARD	wh3_main_vo_actor_Ogres_Hunter		all	false	807F7E	DBBB84	9A8875	807F7E	DBBB84	9A8875	807F7E	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_khorne_red	4B285D	000000	000000	000000	000000	000000	000000	000000
cr_tmb_sons_of_ptra	422149271	wh2_dlc09_sc_tmb_tomb_kings		names_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	false	ui/flags/cr_tmb_sons_of_ptra	wh2_dlc09_tomb_kings	0	names_tmb_tomb_kings	names_tmb_tomb_kings	FACTION_ODA	wh2_dlc09_vo_culture_Tomb_Kings	wh_mp_force_gen_tomb_kings	tmb				false	WH_Tomb_Kings	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		all	false	1D98C5	262419	E5E9FE	1D98C5	262419	E5E9FE	1D98C5	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_caledor_sky	000000	000000	000000	000000	000000	000000	000000	000000
rhox_brt_reveller_of_domance	1400034602	wh_main_sc_brt_bretonnia		names_brt_bretonnia	wh_main_brt_bretonnia	wh_main_brt_bretonnia	false	ui/flags/rhox_cc_reveller_of_domance	wh_main_group_bretonnia	0	names_brt_bretonnia	names_brt_bretonnia	FACTION_ASHIKAGA	wh_main_vo_culture_Bretonnian	default	brt				false	WH_Bretonnia	LOCKED_STANDARD	wh_main_vo_actor_Bretonnian_Lord	rhox_dolmance	all	false	C74E63	444C44	E37394	444C44	C74E63	E37394	C74E63	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_caledor_sky	010101	000000	000000	000000	000000	000000	000000	000000
rhox_def_key_keepers	1033948799	wh2_main_sc_def_dark_elves		names_def_dark_elves	wh2_main_def_dark_elves	wh2_main_def_dark_elves	false	ui/flags/rhox_cc_key_keepers	wh2_main_def	0	names_def_dark_elves	names_def_dark_elves	FACTION_ASHIKAGA	wh2_main_vo_culture_Dark_Elves	default	def				false	WH_Dark_Elves	MIXED_NAVAL_HORDE	wh2_main_vo_actor_Dark_Elves_Dreadlord		all	false	D5A330	A5A5A5	DDC988	D5A330	A5A5A5	DDC988	D5A330	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_sigvald_burgundy	010101	000000	000000	000000	000000	000000	000000	000000
rhox_kho_destroyers_of_khorne	173921463	wh3_main_sc_kho_khorne		names_kho_khorne	wh3_main_kho_khorne	wh3_dae_main_kho_khorne	false	ui/flags/rhox_cc_destroyers_of_khorne	wh3_main_kho	0	names_kho_khorne	names_kho_khorne	FACTION_ODA	wh3_main_vo_culture_Khorne	wh_mp_force_gen_khorne	kho				false	WH_Khorne	LOCKED_STANDARD	wh3_main_vo_actor_Khorne_Cultist_Of_Khorne		all	false	23201F	DDAB1A	803925	23201F	DDAB1A	803925	23201F	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	000000
rhox_nor_firebrand_slavers	1936724290	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/rhox_cc_nor_firebrand_slavers	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	emp				false	WH_Norsca	LOCKED_HORDE	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_valbrand	all	false	501F21	FFFFFF	8C5456	501F21	FFFFFF	8C5456	501F21	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	060606
rhox_vmp_the_everliving	320823483	wh_main_sc_vmp_vampire_counts		names_vmp_vampire_counts	wh_main_vmp_vampire_counts	wh_main_vmp_vampire_counts	false	ui/flags/rhox_cc_vmp_the_everliving	wh_main_group_vampire_counts	0	names_vmp_vampire_counts	names_vmp_vampire_counts	FACTION_ASHIKAGA	wh_main_vo_culture_Vampire	default	vmp				false	WH_Vampire_Counts	LOCKED_STANDARD	wh_main_vo_actor_Vampire_Lord		all	false	1A5B45	31A987	4C4C44	1A5B45	31A987	4C4C44	1A5B45	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	000000
rhox_wef_far_away_forest	707948158	wh_dlc05_sc_wef_wood_elves		names_wef_wood_elves	wh_dlc05_wef_wood_elves	wh_dlc05_wef_wood_elves	false	ui/flags/rhox_wef_far_away_forest	wh_dlc05_group_wood_elves	0	names_wef_wood_elves	names_wef_wood_elves	FACTION_CHOSOKABE	wh_dlc05_vo_culture_Wood_Elves	wh_mp_force_gen_wood_elves	wef				false	WH_Wood_Elves	LOCKED_STANDARD	wh_dlc05_vo_actor_Wood_Elves_Male_Glade_Lord		all	false	059832	E0C277	11C7A2	059832	E0C277	11C7A2	059832	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow	000000	000000	000000	000000	000000	000000	000000	000000
rhox_nor_ravenblessed	782442724	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/rhox_cc_nor_ravenblessed	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	emp				false	WH_Norsca	LOCKED_STANDARD	hkrul_lccp_volrik	rhox_volrik	all	false	4B83A7	D5DFE1	233854	4B83A7	D5DFE1	233854	4B83A7	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_warpstone_glow	010101	000000	000000	000000	000000	000000	000000	060606
rhox_nor_khazags	1729885520	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/rhox_cc_nor_khazags	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	D3CBBF	4A170F	010101	D3CBBF	4A170F	000000	D3CBBF	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	060606
rhox_chs_the_deathswords	1184310449	wh_main_sc_chs_chaos		names_chs_chaos	wh_main_chs_chaos	wh3_dlc20_chs_chaos	false	ui/flags/rhox_cc_chs_the_deathswords	wh_main_group_chaos	0	names_chs_chaos	names_chs_chaos	FACTION_ODA	wh_main_vo_culture_Chaos	wh_mp_force_gen_chaos	emp				false	WH_Chaos	LOCKED_STANDARD	wh_main_vo_actor_Chaos_Lord		all	false	5B5C5A	B92F32	8E8C8C	5B5C5A	B92F32	8E8C8C	5B5C5A	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	000000
