pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_upkeep_t2	-40	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices_upkeep	rhox_valbrand_initiative_slaves_kho_upkeep_t2	40	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_upkeep_t3	-60	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices_upkeep	rhox_valbrand_initiative_slaves_kho_upkeep_t3	60	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_upkeep_t4	-80	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices_upkeep	rhox_valbrand_initiative_slaves_kho_upkeep_t4	80	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_kho_upkeep_t5	-140	absolute	default
rhox_valbrand_slaves_spent_kho_sacrifices_upkeep	rhox_valbrand_initiative_slaves_kho_upkeep_t5	140	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t1	-200	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t1	200	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t2_sacrifice_requirement	-300	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t2_sacrifice_requirement	-1000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t2	-300	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t2	300	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t3_sacrifice_requirement_high	-600	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t3_sacrifice_requirement_high	-3000	absolute	default
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t3_sacrifice_requirement	-600	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t3_sacrifice_requirement	-2000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t3	-600	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t3	600	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t4_sacrifice_requirement	-800	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t4_sacrifice_requirement	-6000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t4	-800	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t4	800	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t5_sacrifice_requirement	-1000	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t5_sacrifice_requirement	-10000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_t5	-1000	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices	rhox_valbrand_initiative_slaves_und_t5	1000	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_upkeep_t1	-20	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices_upkeep	rhox_valbrand_initiative_slaves_und_upkeep_t1	20	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_upkeep_t2	-40	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices_upkeep	rhox_valbrand_initiative_slaves_und_upkeep_t2	40	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_upkeep_t3	-60	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices_upkeep	rhox_valbrand_initiative_slaves_und_upkeep_t3	60	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_upkeep_t4	-80	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices_upkeep	rhox_valbrand_initiative_slaves_und_upkeep_t4	80	absolute	secondary
def_slaves_consumed	rhox_valbrand_initiative_slaves_und_upkeep_t5	-140	absolute	default
rhox_valbrand_slaves_spent_und_sacrifices_upkeep	rhox_valbrand_initiative_slaves_und_upkeep_t5	140	absolute	secondary
