key	resource
cr_minor_primary_soglap	
cr_minor_primary_souphanousiphon	
cr_minor_primary_sangirun	
cr_minor_primary_tanah_lic	
cr_minor_primary_caves_of_eystri_obygdir	
cr_minor_primary_black_telemetron_array	
cr_minor_primary_kasar	
cr_minor_primary_kompot	
cr_minor_primary_lan_fang	
cr_minor_primary_bontallo	
cr_minor_primary_tigercage_isle	
cr_minor_primary_lantern_of_lies	
cr_minor_primary_tor_larha	
cr_minor_primary_tzelkors_maw	
cr_minor_primary_lurid_bastion	
cr_minor_primary_shrine_of_the_last_smile	
cr_minor_primary_cradle_of_ashen_joy	
cr_minor_primary_hollow_benediction	
cr_minor_primary_golgfags_monument	
cr_major_primary_the_grey	
cr_minor_primary_monolith_of_rahuketu	
cr_minor_primary_temple_of_heama	
cr_major_secondary_ihan_1_1	res_rom_iron
cr_major_secondary_nippon_3_1	res_rom_oil
cr_major_secondary_ihan_2_1	res_rom_lead
cr_major_secondary_gates_of_calith_1	res_rom_lead
cr_major_secondary_elithis_1_1	res_rom_wine
cr_minor_secondary_nippon_1_2	res_dyes
cr_minor_secondary_ihan_2_3	res_rom_textiles
cr_minor_secondary_nippon_2_3	res_rom_timber
cr_minor_secondary_nippon_3_3	res_rom_wine
cr_major_secondary_nippon_2_1	
cr_minor_secondary_ihan_1_2	
cr_minor_secondary_elithis_1_3	
cr_minor_secondary_gates_of_calith_2	res_rom_wine
cr_major_secondary_nippon_1_1	
cr_minor_secondary_ihan_1_3	
cr_minor_secondary_nippon_2_2	
cr_major_secondary_elithis_1_2	
cr_minor_secondary_nippon_3_2	
cr_minor_secondary_ihan_2_2	
cr_major_secondary_ihan_3_1	
cr_minor_secondary_ihan_3_2	
cr_minor_secondary_ihan_3_3	res_ivory
cr_major_secondary_thorkinsons_island	res_obsidian
cr_major_secondary_genaina	res_rom_furs
cr_minor_secondary_estragons_island	res_medicine
cr_minor_secondary_sunken_island_of_the_gods	
cr_major_secondary_zermuda	
cr_major_secondary_akhaba	
cr_minor_secondary_sud	
cr_major_secondary_nippon_4_1	
cr_minor_secondary_nippon_4_2	res_rom_textiles
cr_major_secondary_nippon_5_1	
cr_minor_secondary_nippon_5_2	
cr_minor_secondary_nippon_5_3	res_rom_lead
cr_major_secondary_elithis_2_1	
cr_minor_secondary_hendaye	
cr_minor_secondary_tancred_castle	
cr_minor_secondary_isles_of_the_monkey_king	res_spices
cr_major_secondary_bone_island	res_ivory
cr_minor_secondary_elithis_1_4	
cr_minor_secondary_elithis_1_5	
cr_major_secondary_pridvarkar	
cr_major_secondary_aranyas_glade	
cr_major_secondary_rajyapuram	
cr_major_secondary_temple_of_brahmir	
cr_major_secondary_nandakshi	res_rom_iron
cr_major_secondary_himaranya	
cr_major_secondary_temple_of_gilgadresh	res_rom_iron
cr_major_secondary_somnagiri	
cr_major_secondary_eye_of_the_tiger	res_gems
cr_major_secondary_chandrahara	
cr_major_secondary_raakhse	res_rom_oil
cr_minor_secondary_monkeys_altar	res_rom_furs
cr_minor_secondary_pituhiccha	res_spices
cr_minor_secondary_rtanagram	res_rom_textiles
cr_minor_secondary_suryapuri	res_rom_timber
cr_minor_secondary_tarangnagar	res_medicine
cr_major_secondary_lions_den	res_dyes
cr_minor_secondary_caves_of_fire	
cr_minor_secondary_shantivara	
cr_minor_secondary_temple_of_shear_khawn	res_animals
cr_minor_secondary_vajrapur	res_obsidian
cr_minor_secondary_bandaragha	res_medicine
cr_minor_secondary_pubjiwanpur	
cr_minor_secondary_bistdarah	res_animals
cr_minor_secondary_matrdayam	res_spices
cr_minor_secondary_city_of_spires	res_rom_lead
cr_minor_secondary_varindapur	res_rom_marble
cr_minor_secondary_vrindavanis	res_medicine
cr_major_secondary_lumbria_1_1	
cr_minor_secondary_lumbria_1_2	
cr_minor_secondary_lumbria_1_3	res_animals
cr_major_secondary_monolith_of_ana_mung	
cr_major_secondary_ulthspars_bloodgrounds	
cr_minor_secondary_idol_of_shaarnor	res_obsidian
cr_major_secondary_seagrave_port	
cr_major_secondary_doom_crag	
cr_major_secondary_xeich_lus_last_stand	
cr_major_secondary_monolith_of_uzelek	
cr_major_secondary_kharakorsi	
cr_major_secondary_hobhome	
cr_major_secondary_the_bloodrift	
cr_major_secondary_city_of_splinters	
cr_major_secondary_great_rasputia	
cr_minor_secondary_ten_thousand_blades	res_ivory
cr_minor_secondary_chi_an_encampment	
cr_minor_secondary_the_cauldron	res_rom_textiles
cr_minor_secondary_wei_tu_encampment	res_rom_marble
cr_minor_secondary_sul_encampment	res_rom_textiles
cr_major_secondary_shrine_of_ellinill	
cr_minor_secondary_man_churia	res_rom_lead
cr_minor_secondary_seifan_encampment	
cr_major_secondary_tomb_of_the_barking_dogs	res_animals
cr_minor_secondary_wo_camp	
cr_minor_secondary_kuj_encampment	res_rom_oil
cr_minor_secondary_veh_kung_encampment	
cr_minor_secondary_avags_camp	
cr_major_secondary_vaan_encampment	
cr_minor_secondary_muhaks_encampment	res_dyes
cr_minor_secondary_monolith_of_seizask	
cr_major_secondary_gahhuks_encampment	
cr_minor_secondary_yusak_camp	
cr_minor_secondary_khazags_khural	res_rom_oil
cr_minor_secondary_tokmars_encampment	
cr_minor_secondary_tong_war_monolith	res_rom_marble
cr_minor_secondary_oglai_khans_folly	res_rom_furs
cr_minor_secondary_the_mawhunt	
cr_minor_secondary_tsavags_forge	res_rom_iron
cr_minor_secondary_hellcade_drove	res_rom_timber
cr_minor_secondary_nine_graves	res_ivory
cr_minor_secondary_red_abyss	
cr_minor_secondary_zerulous	
cr_minor_secondary_dolgan_encampment	res_ivory
cr_minor_secondary_skjold	
cr_minor_secondary_ihan_gate_1	
cr_minor_secondary_ihan_gate_2	
cr_major_secondary_ungvarrskarr	
cr_minor_secondary_tower_of_tranquility	
cr_major_secondary_avauka	
cr_major_secondary_dai_loa	
cr_major_secondary_dhaygon	
cr_major_secondary_skon_basin	res_savage
cr_major_secondary_ekthita	
cr_major_secondary_preyveer	
cr_major_secondary_nagara_ishsva	res_gold_idols
cr_major_secondary_morakot	
cr_major_secondary_sanmal	
cr_major_secondary_sartorn	
cr_major_secondary_sanctuary_of_lies	
cr_major_secondary_melay	res_gold_idols
cr_major_secondary_naknakorn	res_dyes
cr_major_secondary_junkselon	
cr_major_secondary_santiaogou	
cr_major_secondary_ronopura	res_obsidian
cr_major_secondary_mount_ceno	
cr_major_secondary_haemorrhagia	
cr_major_secondary_starmetal_cemetery	res_rom_iron
cr_major_secondary_zamoski	
cr_major_secondary_fort_dolganyeir	
cr_minor_secondary_preenn	res_rom_marble
cr_minor_secondary_leilou	res_rom_timber
cr_minor_secondary_long_vi	
cr_minor_secondary_fort_khryse	res_spices
cr_minor_secondary_kuthen	
cr_minor_secondary_carcosah	res_rom_oil
cr_minor_secondary_tambang	res_animals
cr_minor_secondary_rekan	
cr_minor_secondary_sinsay	res_rom_furs
cr_minor_secondary_sipsaat	res_ivory
cr_minor_secondary_phenom	res_animals
cr_minor_secondary_tor_hellenar	
cr_minor_secondary_mata_mire	res_medicine
cr_minor_secondary_hewn	
cr_minor_secondary_soglap	
cr_minor_secondary_souphanousiphon	
cr_minor_secondary_sangirun	res_gems
cr_minor_secondary_tanah_lic	res_rom_textiles
cr_minor_secondary_caves_of_eystri_obygdir	res_rom_iron
cr_minor_secondary_black_telemetron_array	
cr_minor_secondary_kasar	
cr_minor_secondary_kompot	res_spices
cr_minor_secondary_lan_fang	res_medicine
cr_minor_secondary_bontallo	
cr_minor_secondary_tigercage_isle	res_rom_furs
cr_minor_secondary_lantern_of_lies	
cr_minor_secondary_tor_larha	res_gems
cr_minor_secondary_tzelkors_maw	
cr_minor_secondary_lurid_bastion	res_dyes
cr_minor_secondary_shrine_of_the_last_smile	
cr_minor_secondary_cradle_of_ashen_joy	res_obsidian
cr_minor_secondary_hollow_benediction	
cr_minor_secondary_golgfags_monument	
cr_major_secondary_the_grey	
cr_minor_secondary_monolith_of_rahuketu	
cr_minor_secondary_temple_of_heama	
