from	network	to	regions
rhox_torinubar_network_southern_sea_of_chaos	rhox_torinubar_caravan	rhox_torinubar_network_river_reik	rhox_torinubar_network_marienburg-river_reik
rhox_torinubar_network_southern_sea_of_chaos	rhox_torinubar_caravan	rhox_torinubar_network_sea_of_claws	rhox_torinubar_network_southern_sea_of_chaos-sea_of_claws
rhox_torinubar_network_river_reik	rhox_torinubar_caravan	rhox_torinubar_network_altdorf	rhox_torinubar_network_river_reik-altdorf
rhox_torinubar_network_sea_of_claws	rhox_torinubar_caravan	rhox_torinubar_network_gulf_of_kislev	rhox_torinubar_network_sea_of_claws-gulf_of_kislev
rhox_torinubar_network_gulf_of_kislev	rhox_torinubar_caravan	rhox_torinubar_network_erengrad	rhox_torinubar_network_gulf_of_kislev-erengrad
rhox_torinubar_network_the_pirate_coast	rhox_torinubar_caravan	rhox_torinubar_network_tilean_sea	rhox_torinubar_network_tilean_sea-the_pirate_coast
rhox_torinubar_network_the_pirate_coast	rhox_torinubar_caravan	rhox_torinubar_network_the_black_gulf	rhox_torinubar_network_the_pirate_coast-the_black_gulf
rhox_torinubar_network_tilean_sea	rhox_torinubar_caravan	rhox_torinubar_network_miragliano	rhox_torinubar_network_tilean_sea-miragliano
rhox_torinubar_network_tilean_sea	rhox_torinubar_caravan	rhox_torinubar_network_the_estalia_coastline	rhox_torinubar_network_the_estalia_coastline-tilean_sea
rhox_torinubar_network_the_black_gulf	rhox_torinubar_caravan	rhox_torinubar_network_barak_varr	rhox_torinubar_network_the_black_gulf-barak_varr
rhox_torinubar_network_straits_of_lothern	rhox_torinubar_caravan	rhox_torinubar_network_lothern	rhox_torinubar_network_straits_of_lothern-lothern
rhox_torinubar_network_eastern_sea_of_dread	rhox_torinubar_caravan	rhox_torinubar_network_ind	rhox_torinubar_network_eastern_sea_of_dread-ind
rhox_torinubar_network_south_nippon_sea	rhox_torinubar_caravan	rhox_torinubar_network_palace_of_devine_sun	rhox_torinubar_network_south_nippon_sea_palace_of_devine_sun
rhox_torinubar_network_the_eastern_isles	rhox_torinubar_caravan	rhox_torinubar_network_eastern_sea_of_dread	rhox_torinubar_network_the_eastern_isles-eastern_sea_of_dread
rhox_torinubar_network_red_river	rhox_torinubar_caravan	rhox_torinubar_network_busan	rhox_torinubar_network_red_river-busan
