key	effects	duration	expended_cost	required_cost	image_path	upkeep_cost	point_cost
rhox_valbrand_faction_initiative_chs_undivided_3_units_warshrine	wh3_dlc20_faction_initiative_chs_undivided_3_units_warshrine	-1	rhox_valbrand_initiative_slaves_und_t4	rhox_valbrand_initiative_slaves_und_t4_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_4.png	rhox_valbrand_initiative_slaves_und_upkeep_t4	0
rhox_valbrand_faction_initiative_chs_undivided_5_units_shaggoths	wh3_dlc20_faction_initiative_chs_undivided_5_units_shaggoths	-1	rhox_valbrand_initiative_slaves_und_t4	rhox_valbrand_initiative_slaves_und_t4_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_5.png	rhox_valbrand_initiative_slaves_und_upkeep_t4	0
rhox_valbrand_faction_initiative_chs_khorne_1_army_xp	wh3_dlc20_faction_initiative_chs_khorne_1_army_xp	-1	rhox_valbrand_initiative_slaves_kho_t1	rhox_valbrand_initiative_slaves_kho_t1_sacrifice_requirements	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	rhox_valbrand_initiative_slaves_kho_upkeep_t1	0
rhox_valbrand_faction_initiative_chs_khorne_1_economy_post_battle_income	wh3_dlc20_faction_initiative_chs_khorne_1_economy_post_battle_income	-1	rhox_valbrand_initiative_slaves_kho_t1	rhox_valbrand_initiative_slaves_kho_t1	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	rhox_valbrand_initiative_slaves_kho_upkeep_t1	0
rhox_valbrand_faction_initiative_chs_khorne_1_units_bloodletters	wh3_dlc20_faction_initiative_chs_khorne_1_units_bloodletters	-1	rhox_valbrand_initiative_slaves_kho_t1	rhox_valbrand_initiative_slaves_kho_t1	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	rhox_valbrand_initiative_slaves_kho_upkeep_t1	0
rhox_valbrand_faction_initiative_chs_khorne_1_units_flesh_hounds	wh3_dlc20_faction_initiative_chs_khorne_1_units_flesh_hounds	-1	rhox_valbrand_initiative_slaves_kho_t1	rhox_valbrand_initiative_slaves_kho_t1	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	rhox_valbrand_initiative_slaves_kho_upkeep_t1	0
rhox_valbrand_faction_initiative_chs_khorne_2_army_upgrades	wh3_dlc20_faction_initiative_chs_khorne_2_army_upgrades	-1	rhox_valbrand_initiative_slaves_kho_t2	rhox_valbrand_initiative_slaves_kho_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_2.png	rhox_valbrand_initiative_slaves_kho_upkeep_t2	0
rhox_valbrand_faction_initiative_chs_khorne_3_characters_marking	wh3_dlc20_faction_initiative_chs_khorne_3_characters_marking	-1	rhox_valbrand_initiative_slaves_kho_t3	rhox_valbrand_initiative_slaves_kho_t3_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_3.png	rhox_valbrand_initiative_slaves_kho_upkeep_t3	0
rhox_valbrand_faction_initiative_chs_khorne_3_units_skullcannons	wh3_dlc20_faction_initiative_chs_khorne_3_units_skullcannons	-1	rhox_valbrand_initiative_slaves_kho_t3	rhox_valbrand_initiative_slaves_kho_t3_sacrifice_requirement_high	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_3.png	rhox_valbrand_initiative_slaves_kho_upkeep_t3	0
rhox_valbrand_faction_initiative_chs_khorne_3_units_warshrine	wh3_dlc20_faction_initiative_chs_khorne_3_units_warshrine	-1	rhox_valbrand_initiative_slaves_kho_t4	rhox_valbrand_initiative_slaves_kho_t4_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_4.png	rhox_valbrand_initiative_slaves_kho_upkeep_t4	0
rhox_valbrand_faction_initiative_chs_khorne_5_units_bloodthirsters	wh3_dlc20_faction_initiative_chs_khorne_5_units_bloodthirsters	-1	rhox_valbrand_initiative_slaves_kho_t5	rhox_valbrand_initiative_slaves_kho_t5_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_5.png	rhox_valbrand_initiative_slaves_kho_upkeep_t5	0
rhox_valbrand_faction_initiative_chs_khorne_5_units_soul_grinder	wh3_dlc20_faction_initiative_chs_5_units_soul_grinders	-1	rhox_valbrand_initiative_slaves_kho_t5	rhox_valbrand_initiative_slaves_kho_t5_sacrifice_requirement_low	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_5.png	rhox_valbrand_initiative_slaves_kho_upkeep_t5	0
